dimension,phase_sigma,asymmetry_level,case_id,coherence_magnitude,symmetry_gap_mean_abs,residual_abs
6,0.150000,0.550000,d6_s0.15_a0.55_k3,0.9881641296,0.3007889394,0.0004782429
6,0.300000,0.000000,d6_s0.30_a0.00_k1,0.9757561571,0.0000000000,0.0087205262
6,0.300000,0.000000,d6_s0.30_a0.00_k2,0.9577688624,0.0000000000,0.0025155524
6,0.300000,0.000000,d6_s0.30_a0.00_k3,0.9589000011,0.0000000000,0.0220312333
6,0.300000,0.150000,d6_s0.30_a0.15_k1,0.9405857825,0.0987484706,0.0323868815
6,0.300000,0.150000,d6_s0.30_a0.15_k2,0.9604341038,0.0675625700,0.0019733356
6,0.300000,0.150000,d6_s0.30_a0.15_k3,0.9566066870,0.0812406725,0.0009612541
6,0.300000,0.350000,d6_s0.30_a0.35_k1,0.9561463847,0.1954590548,0.0003212882
6,0.300000,0.350000,d6_s0.30_a0.35_k2,0.9381886808,0.2182354261,0.0276179429
6,0.300000,0.350000,d6_s0.30_a0.35_k3,0.9630736836,0.1924028179,0.0136223754
6,0.300000,0.550000,d6_s0.30_a0.55_k1,0.9459426991,0.3458719420,0.0039559683
6,0.300000,0.550000,d6_s0.30_a0.55_k2,0.9806340141,0.2550485121,0.0099914057
6,0.300000,0.550000,d6_s0.30_a0.55_k3,0.9773024766,0.2778805339,0.0251550980
6,0.600000,0.000000,d6_s0.60_a0.00_k1,0.8375722914,0.0000000000,0.0030236415
6,0.600000,0.000000,d6_s0.60_a0.00_k2,0.8947406235,0.0000000000,0.0322207005
6,0.600000,0.000000,d6_s0.60_a0.00_k3,0.8280284976,0.0000000000,0.0652498942
6,0.600000,0.150000,d6_s0.60_a0.15_k1,0.8340434529,0.0792406301,0.0315080846
6,0.600000,0.150000,d6_s0.60_a0.15_k2,0.9250842270,0.0903763419,0.0027299334
6,0.600000,0.150000,d6_s0.60_a0.15_k3,0.9034928904,0.0989980854,0.0248744958
6,0.600000,0.350000,d6_s0.60_a0.35_k1,0.8467978844,0.2329840872,0.0939660367
6,0.600000,0.350000,d6_s0.60_a0.35_k2,0.8786612716,0.2094882911,0.0290937674
6,0.600000,0.350000,d6_s0.60_a0.35_k3,0.8760689416,0.1815959410,0.0158117868
6,0.600000,0.550000,d6_s0.60_a0.55_k1,0.8700554950,0.3305355347,0.0360364294
6,0.600000,0.550000,d6_s0.60_a0.55_k2,0.8886294859,0.3148956998,0.0256697580
